1.000000	1.000000
1.183673	1.401083
1.367347	1.869638
1.551020	2.405664
1.734694	3.009163
1.918367	3.680133
2.102041	4.418576
2.285714	5.224490
2.469388	6.097876
2.653061	7.038734
2.836735	8.047064
3.020408	9.122865
3.204082	10.266139
3.387755	11.476885
3.571429	12.755102
3.755102	14.100791
3.938776	15.513953
4.122449	16.994586
4.306122	18.542691
4.489796	20.158267
4.673469	21.841316
4.857143	23.591837
5.040816	25.409829
5.224490	27.295294
5.408163	29.248230
5.591837	31.268638
5.775510	33.356518
5.959184	35.511870
6.142857	37.734694
6.326531	40.024990
6.510204	42.382757
6.693878	44.807997
6.877551	47.300708
7.061224	49.860891
7.244898	52.488546
7.428571	55.183673
7.612245	57.946272
7.795918	60.776343
7.979592	63.673886
8.163265	66.638900
8.346939	69.671387
8.530612	72.771345
8.714286	75.938776
8.897959	79.173678
9.081633	82.476052
9.265306	85.845898
9.448980	89.283215
9.632653	92.788005
9.816327	96.360267
10.000000	100.000000
